parameter_id,parameter_name,category,domain,data_type,allowed_values,unit,description,source_document,source_location,assessment_phase
P033,erd_level,vulnerability,seismic_design,categorical,"none;ERD-L;ERD-M;ERD-H",,Level of earthquake-resistant design,EMS_98,Cl.2.3.7.1 pp.44-46,pre_earthquake
P034,damage_grade,post_earthquake_damage,damage,integer,"0;1;2;3;4;5",,Observed damage grade (0=none through 5=destruction),EMS_98,pp.15-16 / IS 13935 Table 1 p.5,post_earthquake
P035,structural_damage_level,post_earthquake_damage,damage,categorical,"none;slight;moderate;heavy;very_heavy",,Structural damage severity,EMS_98,pp.15-16,post_earthquake
P036,non_structural_damage_level,post_earthquake_damage,damage,categorical,"slight;moderate;heavy;very_heavy;total",,Non-structural damage severity,EMS_98,pp.15-16,post_earthquake
P037,crack_severity,post_earthquake_damage,damage_indicator,categorical,"none;hairline;moderate;severe;extensive",,Observed crack severity in structural elements,IS_13935_2009,Cl.6.2-6.3 pp.4-5 / EMS-98 pp.15-16,post_earthquake
P038,crack_width,post_earthquake_damage,damage_indicator,float,,mm,Measured crack width in mm,IS_13935_2009,Cl.6.2 p.4 (0.5-5mm minor/medium) / Cl.6.3 p.5 (>5mm major),post_earthquake
P039,crack_pattern,post_earthquake_damage,damage_indicator,categorical,"none;vertical;horizontal;diagonal;x_shaped;stair_step;flexural;shear",,Observed seismic crack pattern,EMS_98,pp.15-16 / IS 13935 Cl.4.2.1 p.2,post_earthquake
P040,collapse_mode,post_earthquake_damage,damage_indicator,categorical,"none;partial;total;soft_story;out_of_plane;in_plane;pancake",,Observed or inferred collapse mechanism,EMS_98,pp.15-16 / NDMA_RVS_Primer Forms B,post_earthquake
P041,soft_story_failure,post_earthquake_damage,damage_indicator,boolean,,,Ground storey collapse / soft-story pancake observed,EMS_98,p.16 (RC Grade 5) / NDMA_RVS_Primer Forms B,post_earthquake
P042,wall_failure,post_earthquake_damage,damage_indicator,boolean,,,Serious wall failure / gaps / out-of-plane wall collapse,EMS_98,p.15 (Masonry Grade 4) / IS 13935 Table 9 p.29,post_earthquake
P043,wall_separation,post_earthquake_damage,damage_indicator,boolean,,,Separation of perpendicular walls at corners/T-junctions,IS_13935_2009,Cl.9.3 p.9 / NDMA_RVS_Primer Form B RED 3.5,post_earthquake
P044,floor_roof_failure,post_earthquake_damage,damage_indicator,boolean,,,Partial structural failure of roofs or floors,EMS_98,p.15 (Masonry Grade 4) / IS 13935 Table 9 p.29,post_earthquake
P045,rebar_failure,post_earthquake_damage,damage_indicator,boolean,,,Fractured / buckled / yielded reinforcing bars,IS_13935_2009,Cl.6.4 p.5,post_earthquake
P046,concrete_spalling,post_earthquake_damage,damage_indicator,boolean,,,Spalling of concrete cover / compression crushing,EMS_98,p.16 (RC Grade 3-4),post_earthquake
P047,chimney_damage,post_earthquake_damage,damage_indicator,boolean,,,Collapse or fracture of chimneys,EMS_98,p.15 (Masonry Grade 2-3),post_earthquake
P048,foundation_settlement,post_earthquake_damage,geotechnical,boolean,,,Uneven settlement or tilting of building,NDMA_RVS_Primer,Form B RED 2.4 / IS 13935 Forms pp.33-36,post_earthquake
P049,ground_failure,post_earthquake_damage,geotechnical,boolean,,,Landslide / fissure / liquefaction at site,NDMA_RVS_Primer,Form B RED 1.1,post_earthquake
P050,post_eq_rvs_tag,post_earthquake_damage,assessment_output,categorical,"green;yellow;red",,Post-earthquake NDMA Level 1 RVS occupancy tag,NDMA_RVS_Primer,All Forms B pp.29-55,post_earthquake
P051,retrofitting_action,post_earthquake_damage,remediation,categorical,"not_needed;non_structural_only;full_retrofit;retrofit_or_replace;replace",,Recommended retrofitting action per damage grade,IS_13935_2009,Table 1 p.5,post_earthquake
P052,pga,post_earthquake_damage,ground_motion,float,,g,Peak ground acceleration at site,EMS_98,Intensity Scale pp.17-20 (implicit),post_earthquake
P053,magnitude,post_earthquake_damage,ground_motion,float,,,Earthquake moment magnitude,EMS_98,Intensity Scale pp.17-20 (implicit),post_earthquake
